SalesOrderID,OrderDate,Day,WeekN0,Month,MonthShort,Year
43659,5/31/2011,Tuesday,23,May,May,2011
43660,5/31/2011,Tuesday,23,May,May,2011
43661,5/31/2011,Tuesday,23,May,May,2011
43662,5/31/2011,Tuesday,23,May,May,2011
43663,5/31/2011,Tuesday,23,May,May,2011
43664,5/31/2011,Tuesday,23,May,May,2011
43665,5/31/2011,Tuesday,23,May,May,2011
43666,5/31/2011,Tuesday,23,May,May,2011
43667,5/31/2011,Tuesday,23,May,May,2011
43668,5/31/2011,Tuesday,23,May,May,2011
43669,5/31/2011,Tuesday,23,May,May,2011
43670,5/31/2011,Tuesday,23,May,May,2011
43671,5/31/2011,Tuesday,23,May,May,2011
43672,5/31/2011,Tuesday,23,May,May,2011
43673,5/31/2011,Tuesday,23,May,May,2011
43674,5/31/2011,Tuesday,23,May,May,2011
43675,5/31/2011,Tuesday,23,May,May,2011
43676,5/31/2011,Tuesday,23,May,May,2011
43677,5/31/2011,Tuesday,23,May,May,2011
43678,5/31/2011,Tuesday,23,May,May,2011
43679,5/31/2011,Tuesday,23,May,May,2011
43680,5/31/2011,Tuesday,23,May,May,2011
43681,5/31/2011,Tuesday,23,May,May,2011
43682,5/31/2011,Tuesday,23,May,May,2011
43683,5/31/2011,Tuesday,23,May,May,2011
43684,5/31/2011,Tuesday,23,May,May,2011
43685,5/31/2011,Tuesday,23,May,May,2011
43686,5/31/2011,Tuesday,23,May,May,2011
43687,5/31/2011,Tuesday,23,May,May,2011
43688,5/31/2011,Tuesday,23,May,May,2011
43689,5/31/2011,Tuesday,23,May,May,2011
43690,5/31/2011,Tuesday,23,May,May,2011
43691,5/31/2011,Tuesday,23,May,May,2011
43692,5/31/2011,Tuesday,23,May,May,2011
43693,5/31/2011,Tuesday,23,May,May,2011
43694,5/31/2011,Tuesday,23,May,May,2011
43695,5/31/2011,Tuesday,23,May,May,2011
43696,5/31/2011,Tuesday,23,May,May,2011
43697,5/31/2011,Tuesday,23,May,May,2011
43698,5/31/2011,Tuesday,23,May,May,2011
43699,5/31/2011,Tuesday,23,May,May,2011
43700,5/31/2011,Tuesday,23,May,May,2011
43701,5/31/2011,Tuesday,23,May,May,2011
43702,6/1/2011,Wednesday,23,June,Jun,2011
43703,6/1/2011,Wednesday,23,June,Jun,2011
43704,6/1/2011,Wednesday,23,June,Jun,2011
43705,6/1/2011,Wednesday,23,June,Jun,2011
43706,6/2/2011,Thursday,23,June,Jun,2011
43707,6/2/2011,Thursday,23,June,Jun,2011
43708,6/2/2011,Thursday,23,June,Jun,2011
43709,6/2/2011,Thursday,23,June,Jun,2011
43710,6/2/2011,Thursday,23,June,Jun,2011
43711,6/3/2011,Friday,23,June,Jun,2011
43712,6/3/2011,Friday,23,June,Jun,2011
43713,6/4/2011,Saturday,23,June,Jun,2011
